Class,Mean_Hue,Mean_Saturation,Mean_Value
BUSUK,12.271954653434184,68.4948860684239,23.979628579564757
BUSUK,11.988596226094602,65.44471283547492,21.405740105613397
BUSUK,11.19053907046222,63.25803075852801,19.007397059411282
BUSUK,11.256466260166663,50.22794105708319,16.176392077246657
BUSUK,12.171018514817849,53.62821611278751,17.88564673842449
BUSUK,15.293267177164726,51.993673000639475,20.667460182650228
BUSUK,13.141405453777901,57.76017837248456,21.980908779800565
BUSUK,10.511343354699147,58.635415053406206,19.562987568943466
BUSUK,11.13770989038988,55.456254152844664,18.49119050503587
BUSUK,13.678347817289822,57.29806886478088,21.80278780774765
BUSUK,14.110318289003018,57.65509719529985,22.653240748835955
BUSUK,9.260578513119242,49.881983492286324,16.92459886018465
BUSUK,11.85506743845047,55.743330937381344,20.719514841579905
BUSUK,20.77568159734018,67.88557835699726,24.18041518454867
BUSUK,15.000824167932295,57.12644194260706,23.42591481235387
BUSUK,10.496330352860655,54.422696357736655,18.187383220758978
BUSUK,9.752571485132192,56.40218879893487,19.465087846715694
BUSUK,12.699137332387442,55.02690262734558,21.349552429507803
BUSUK,12.14095145106013,55.291002315601204,20.106971502118263
BUSUK,18.94928361868268,68.30425410538359,24.535470601606683
BUSUK,21.588343808077376,72.06321956620572,26.279479264503106
BUSUK,16.79886805319638,64.26068920360305,23.07905611148858
BUSUK,19.21868052571891,70.07545890494794,24.66678932650227
BUSUK,15.24331610579325,65.00356098624128,20.464283350152876
BUSUK,22.749294640894465,70.72471214229331,26.636711958693873
BUSUK,18.431460577326593,68.55481473941369,23.99563857636738
BUSUK,12.792978351501768,56.72576815136588,17.574333265472312
BUSUK,11.450911658689874,57.59552573140025,18.29271653494135
BUSUK,16.765995789702444,61.47417086738874,22.533683317179914
BUSUK,20.39897034431766,70.38220471713196,26.49629663051298
BUSUK,16.917060510381486,67.94381731979776,23.882573165004697
BUSUK,20.9525916873164,69.41195906856377,26.08798363466957
BUSUK,17.02879076657141,62.18809622984153,22.723433815521272
BUSUK,19.265797358665893,70.08486790831518,25.963169575947724
BUSUK,15.06322830903659,76.03738871625268,25.772613956555624
BUSUK,20.692364917018047,70.27158589331748,26.890995321336504
BUSUK,17.69094529985412,72.35858955031874,28.4408191532943
BUSUK,17.371767494404587,75.29000813083272,29.59949919191263
BUSUK,12.15339905652365,71.04592015797047,23.292949625057453
BUSUK,13.205765022681401,74.25007228447673,24.2219256771947
BUSUK,13.122836617723467,63.92450784107032,23.708562416318617
BUSUK,10.873004604973922,63.63159787099578,20.415882257798604
BUSUK,18.89869931656042,64.33601540486801,25.59355110059751
BUSUK,18.26166777617354,71.05702542665014,26.373642363262125
BUSUK,19.802201881956794,67.75908707984453,27.689236076417338
BUSUK,17.83421313273116,67.93439723176995,23.640151013668792
BUSUK,19.308754789822345,65.58676276078616,23.22650785730701
BUSUK,16.1706797301213,64.23495764722927,22.005908280210228
BUSUK,17.151059880897662,63.733204709638095,22.45716168991427
BUSUK,13.930763804929958,70.6763255692832,25.019696036749867
BUSUK,13.26086749490418,67.80019087473272,23.593785751933414
BUSUK,16.817163675785856,70.27116420784957,23.277461387911913
BUSUK,14.296508269469035,66.69302859155492,20.155065814781878
BUSUK,16.433188067035033,67.71089456645551,23.63638675660958
BUSUK,13.665965626935913,62.9830268867029,21.81804108131332
BUSUK,12.525002778971244,59.802472285226116,18.32131698881917
BUSUK,12.438012080094323,65.29445417257848,21.493870963310087
BUSUK,20.907189073709556,70.86518788968046,25.48687825982694
BUSUK,18.037059767240862,69.75612466527447,24.69351881457205
BUSUK,13.60328390095122,70.093851323165,21.8220418631722
BUSUK,13.363489126416338,68.85423015627185,23.721185502887632
BUSUK,15.763051329160088,68.77489068338961,24.04482511840291
BUSUK,15.358427964069463,66.8694369054875,21.91497690643672
BUSUK,17.24081268984433,70.21156542260347,23.363005460522373
BUSUK,14.430269366619372,64.1893345893867,24.652060622789314
BUSUK,10.377159791470994,60.177688201924425,18.94142115964909
BUSUK,11.573513781199416,60.8502268764613,19.91136049689255
BUSUK,9.344248653604044,58.38224671394457,17.63055279046182
BUSUK,20.828475025479108,66.48758143322476,25.593438224405986
BUSUK,10.388141879908476,61.752804263004336,20.303343445874383
BUSUK,9.58779222912212,61.17543301992366,18.756298741282148
BUSUK,11.021290822775324,56.43049152819688,19.15241252173218
BUSUK,11.203599766941108,59.35560777662317,20.706199510151677
BUSUK,10.943148180991587,63.11860602431007,23.609860851601688
BUSUK,9.82945625212326,53.493501422583485,16.927993420395275
BUSUK,10.461273318378929,53.55068718650706,17.434296845336824
BUSUK,17.917226155802243,61.02053206995264,23.111574446453908
BUSUK,17.713832938240643,60.92899072760336,22.21854157715673
BUSUK,19.42063242516137,68.96610076612178,24.418187086588997
BUSUK,11.078750424651785,62.414095129493816,18.750362827481464
BUSUK,19.110463950810335,63.116831854129614,22.923570172458582
BUSUK,20.59347663041306,67.52269560835116,23.87314449026798
BUSUK,20.898885570082534,65.76831716742271,25.784314986710896
BUSUK,21.78263823664595,70.23097341430028,30.548421544333646
BUSUK,19.808034911372676,69.29315133465558,24.653633551737574
BUSUK,20.625097107871547,68.93557610884075,24.04562618028217
BUSUK,20.495339758897703,69.33286423882416,26.335635872334684
BUSUK,10.4394874328051,47.126564186117385,17.696220193191582
BUSUK,12.888381214903779,45.96193886637957,19.144968625726904
BUSUK,10.049713765961911,46.74676749440459,16.425949939799363
BUSUK,11.243197453088467,67.76350861043944,22.999650286764854
BUSUK,11.027524773435783,47.18904701269959,17.764618013229153
BUSUK,9.923202661317719,41.41402315726105,15.69133732214584
BUSUK,6.833621898792989,40.51476726584201,12.010277666063828
BUSUK,13.466537439299774,48.59249899457445,20.835914393946965
BUSUK,12.924873478747427,46.44120149602326,18.905880771517356
BUSUK,11.522416150006995,46.69607468750625,18.75868147494055
BUSUK,8.320145449481425,45.65606327811195,15.247369032393438
BUSUK,8.270271658490039,46.78523048600148,15.688666543434383
BUSUK,10.715751365130593,41.625377502947586,16.503084189714436
BUSUK,13.806658071631263,70.3228348067085,24.05567793784097
BUSUK,11.737978763663795,68.41777632965967,24.259095510431447
BUSUK,15.261956289592534,63.77145693656202,24.076791406047043
BUSUK,15.210462576936912,69.1082927624348,24.426526810515377
BUSUK,15.109143314981715,69.20534021477388,23.468334715533263
BUSUK,13.965874545372793,70.73646656616575,24.137945322335685
BUSUK,14.549604636697907,68.79987628894307,23.159211321716192
BUSUK,12.70795385284067,62.33987286674927,23.236314659479227
BUSUK,9.314381582102676,56.98257772376651,17.621523319627904
BUSUK,13.655896539837334,67.63466051587699,22.799036040446833
BUSUK,11.81455362852461,70.6157521145161,22.055837026138565
BUSUK,12.728112947383146,65.05964359225435,20.646403386722888
BUSUK,11.582531074518894,60.78184747881737,20.806110707969466
BUSUK,13.779181539887292,70.31631952424013,23.6945187758538
BUSUK,13.4723186362183,64.58155593663196,23.313006771947002
BUSUK,13.588116962840472,63.7538267058512,22.88830861818309
BUSUK,18.86023491986571,74.72231910458424,27.049231661287745
BUSUK,19.677738317079996,76.20934474356028,28.536982799104734
BUSUK,16.819912359365322,72.42425507958474,26.521869566955097
BUSUK,16.498596931765952,73.58370807812594,26.71279098014628
BUSUK,15.013733738334565,68.1809022851262,22.81276150431646
BUSUK,17.92566439269799,73.07859180472013,27.1859055262185
BUSUK,14.765513060540357,67.15247028686477,21.9936322528027
BUSUK,11.998031457954477,66.03129949066765,22.062883903948762
BUSUK,17.005408689874304,67.5746935950021,24.411901459553167
BUSUK,18.24834011110889,72.52712291545933,25.52092830753782
BUSUK,16.22934927734258,68.67818794838233,24.353638141723785
BUSUK,13.557361557273037,58.63155493745129,19.9275737645131
BUSUK,13.455123049099738,64.32822054665175,21.84201970009592
BUSUK,21.605731425231312,75.45803488014828,27.392358110099718
BUSUK,20.750631045043065,72.50235650516576,29.095620185198136
